longitude,latitude,x,y
139.430334555646,35.8448415400449,-17139.31228299206,-36403.353499485536
139.678608969234,35.9148605948873,-9434.911610533018,-13964.107658344472
139.656439733635,35.7317328315238,-29748.58848586073,-16001.629643273498
139.407672331137,35.418201229188,-64463.00834336644,-38655.32939258714
139.977018213666,35.8598463903843,-15540.035524140112,12976.74944872333
140.063071670711,35.6489495934528,-38922.85850619944,20803.406869241782
139.67104314294,35.588162513939,-45678.81543331267,-14706.91912259406
139.830850259588,35.7301194344909,-29942.00612011412,-224.6209450846198
139.438924272031,35.6369330583108,-40208.662835466675,-35720.179400052555
139.584950975918,35.426069716838,-63644.97907703696,-22553.97816543045
